"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.111148083E0,1.584542915E-4,4.565520212E-4,1.129112439E-3
2.121126083E0,-1.179882325E-3,3.633871675E-4,7.128918078E-4
2.131104083E0,5.602271995E-4,-1.023998484E-4,1.208239701E-3
2.141082083E0,-1.293943496E-4,-1.562003978E-3,2.142578887E-4
2.151060083E0,-4.806653596E-4,-1.264529303E-3,-4.789629311E-4
2.161038083E0,-1.584375277E-4,8.627083153E-4,-8.123486768E-4
2.171016083E0,1.291838707E-4,8.366098627E-4,1.815430442E-4
2.180994083E0,-6.700118538E-4,-1.476895064E-3,3.436302650E-4
2.190972083E0,3.763440764E-4,-1.393804327E-3,3.396355314E-4
2.200950083E0,4.429649562E-5,7.703900337E-4,5.773424637E-4
2.210928083E0,1.666694181E-3,9.624036029E-4,-9.798078099E-4
2.220906083E0,6.575684529E-5,-1.591401175E-3,-5.797203048E-4
2.230884083E0,3.358013928E-4,-1.875028014E-3,5.348125705E-4
2.240862083E0,-1.474954188E-4,-1.174286939E-3,2.015166392E-4
2.250840083E0,1.539350837E-3,-9.966539219E-4,4.475927271E-4
2.260818083E0,-8.276227163E-4,3.010313958E-5,7.048506523E-4
2.270796083E0,2.778472845E-5,2.018772066E-4,6.965948269E-4
2.280774083E0,1.041798154E-3,-4.965718836E-5,5.689773243E-4
2.290752083E0,7.123652031E-4,-5.750991404E-4,4.566613643E-5
2.300730083E0,-5.249292590E-4,-1.392720267E-3,3.903081815E-4
2.310708083E0,-3.001585137E-4,-3.506252542E-4,7.445730444E-5
2.320686083E0,4.532409366E-5,8.193822578E-4,9.830424096E-4
2.330664083E0,-3.656017361E-4,9.773075581E-4,-4.729077627E-4
2.340642083E0,3.732461482E-5,6.273249164E-4,-2.688350214E-4
2.350620083E0,-2.657431178E-4,7.136110216E-4,1.338349393E-4
2.360598083E0,1.585634891E-5,-1.126239076E-3,-2.719681361E-4
2.370576083E0,-4.014609149E-4,2.937586978E-4,3.466841881E-4
2.380554083E0,-7.087053964E-4,2.048294991E-4,-7.572700270E-4
2.390532083E0,-3.094975837E-4,5.105603486E-4,7.996139466E-4
2.400510083E0,-1.598972594E-4,-1.105573028E-5,3.804896842E-4
2.410487083E0,9.434504318E-4,-7.593072951E-6,-7.865075022E-4
2.420465083E0,2.050608164E-4,-4.170648754E-4,3.395790118E-4
2.430443083E0,-1.544889528E-5,-1.527336426E-3,-5.339378258E-4
2.440421083E0,2.186377533E-4,9.789485484E-4,1.109309378E-4
2.450399083E0,6.314276834E-4,-8.229464293E-4,-1.215630182E-4
2.460377083E0,7.919895579E-4,4.825713113E-4,1.876557799E-4
2.470355083E0,-1.068228390E-3,1.406213269E-4,-4.046312533E-4
2.480333083E0,-1.736189006E-4,-1.466486603E-3,-1.896121976E-4
2.490311083E0,-2.798790811E-4,-7.021585479E-4,4.926896654E-4
2.500289083E0,-6.164228544E-4,-9.886547923E-5,5.285488442E-6
2.510267083E0,-4.137562355E-4,5.096662790E-4,-1.154787489E-3
2.520245083E0,-1.733263140E-3,8.369246498E-4,-4.121820093E-4
2.530223083E0,-8.826494450E-4,-4.120981321E-4,6.845077733E-4
2.540201083E0,1.157239662E-3,-6.814282387E-4,-2.033134806E-4
2.550179083E0,3.194091842E-4,9.034192190E-4,4.955000477E-4
2.560157083E0,-2.352058655E-3,-1.136716455E-3,1.265394269E-3
2.570135083E0,-1.120346598E-3,-6.357766688E-4,-4.012119607E-4
2.580113083E0,1.168282470E-4,-3.359531984E-4,-8.326900424E-4
2.590091083E0,1.744285924E-3,5.535427481E-4,6.560169859E-4
2.600069083E0,-8.492136840E-4,7.190257311E-4,-6.465601036E-4
2.610047083E0,-6.723797414E-4,1.349942759E-4,-9.893089300E-4
2.620025083E0,5.167025956E-4,9.785620496E-4,-6.770206382E-4
2.630003083E0,5.055172951E-4,3.564478830E-4,4.305879993E-4
2.639981083E0,5.132704391E-4,-1.244724728E-3,2.384113031E-5
2.649959083E0,-7.261647843E-4,-1.342462376E-3,-1.756215701E-3
2.659937083E0,-1.101637958E-3,-3.338819370E-4,-1.010523993E-3
2.669915083E0,2.078708960E-3,9.955679998E-4,2.092036884E-4
2.679893292E0,-7.852027193E-4,1.229634508E-4,1.285374456E-4
2.689871292E0,-7.990512531E-4,-1.046163961E-3,2.728807740E-4
2.699849291E0,7.696344983E-5,-6.046472117E-4,-1.393365528E-4
2.709827292E0,1.327850274E-3,-2.547083423E-4,-3.510578535E-4
2.719805292E0,1.351715764E-4,1.256168820E-3,4.403610656E-4
2.729783291E0,-1.048603561E-3,-1.137213781E-3,6.795129739E-4
2.739761292E0,-2.140643541E-3,-9.167473763E-4,3.716360952E-4
2.749739292E0,-1.397089218E-3,5.602417514E-4,1.457140548E-3
2.759717291E0,8.343503578E-4,6.906222552E-5,-6.020020228E-4
2.769695292E0,-1.500709215E-3,-4.461035132E-7,3.415559186E-4
2.779673292E0,6.122802733E-4,5.018711090E-5,-1.153486519E-4
2.789651291E0,-2.804821823E-3,-2.486193553E-4,-1.840278041E-3
2.799629292E0,-4.430265399E-4,-3.854827955E-4,-4.704572348E-5
2.809607292E0,-9.575493168E-4,-9.572636336E-4,-3.818050609E-4
2.819585291E0,8.294537547E-4,-2.025377471E-3,-1.098084380E-3
2.829563292E0,-3.069171216E-4,9.605586529E-4,9.208227857E-5
2.839540292E0,-2.776327310E-4,-5.602575839E-4,3.470281372E-4
2.849518292E0,-1.138483640E-4,2.405550331E-4,-6.772235502E-4
2.859496291E0,-8.048765594E-4,-6.370935589E-4,-5.689198151E-4
2.869474292E0,-8.405629778E-4,-8.565373719E-4,6.697163917E-4
2.879452292E0,1.178413746E-3,4.933709279E-4,7.344346377E-4
2.889430291E0,3.866559127E-4,4.877783358E-4,1.875865506E-3
2.899408292E0,-3.981753252E-6,2.365065739E-4,1.017139875E-3
2.909386292E0,-2.436662326E-4,5.662059411E-4,-3.099133028E-4
2.919364291E0,6.166812382E-4,5.111480132E-4,1.038585790E-3
2.929342292E0,8.720783517E-4,1.721288078E-3,-3.928633232E-4
2.939320292E0,-1.006079838E-4,-2.877879888E-5,5.775837344E-4
2.949298291E0,-9.988922393E-4,-2.091663424E-3,5.064773140E-4
2.959276292E0,-5.542348372E-4,6.665559486E-4,1.723601308E-4
2.969254292E0,6.441876758E-4,-2.082921565E-4,8.610535879E-4
