"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.491266666E0,1.309776306E-1,1.139131165E-1,9.811047821E0
1.501244667E0,1.230441284E-1,1.140628052E-1,9.842781830E0
1.511222667E0,1.270857239E-1,1.199006653E-1,9.824819183E0
1.521200666E0,1.293310547E-1,1.233435059E-1,9.819430389E0
1.531178667E0,1.392105103E-1,1.248403931E-1,9.822424164E0
1.541156667E0,1.221459961E-1,1.266366577E-1,9.825268250E0
1.551134667E0,1.255888367E-1,1.213975525E-1,9.838740234E0
1.561112667E0,1.475930786E-1,1.149609375E-1,9.825717316E0
1.571089667E0,1.335223389E-1,1.116677856E-1,9.806257782E0
1.581067667E0,1.297801208E-1,1.197509766E-1,9.840985565E0
1.591045666E0,1.402583313E-1,1.200503540E-1,9.835447083E0
1.601023667E0,1.368154907E-1,1.094224548E-1,9.815688171E0
1.611001667E0,1.296304321E-1,1.140628052E-1,9.829609222E0
1.620979666E0,1.188528442E-1,1.184037781E-1,9.834998016E0
1.630957667E0,1.163081360E-1,1.230441284E-1,9.840985565E0
1.640935667E0,1.305285645E-1,1.169068909E-1,9.834848328E0
1.650913666E0,1.504371643E-1,1.272354126E-1,9.800868988E0
1.660891667E0,1.413061523E-1,1.055305481E-1,9.818831635E0
1.670869667E0,1.299298096E-1,1.151106262E-1,9.857601013E0
1.680847083E0,1.151106262E-1,1.203497314E-1,9.847571869E0
1.690825083E0,1.342707825E-1,1.267863464E-1,9.824819183E0
1.700803083E0,1.396595764E-1,1.311273193E-1,9.805659027E0
1.710781083E0,1.353186035E-1,1.086740112E-1,9.811496887E0
1.720759083E0,1.255888367E-1,1.122665405E-1,9.830806732E0
1.730737083E0,1.142124939E-1,1.230441284E-1,9.851314087E0
1.740715083E0,1.332229614E-1,1.191522217E-1,9.832004242E0
1.750693083E0,1.387614441E-1,1.203497314E-1,9.825567627E0
1.760671083E0,1.320254517E-1,1.097218323E-1,9.818083191E0
1.770649083E0,1.335223389E-1,1.160087585E-1,9.836195526E0
1.780627083E0,1.404080200E-1,1.314266968E-1,9.828561401E0
1.790605083E0,1.225950623E-1,1.224453735E-1,9.826016693E0
1.800583083E0,1.279838562E-1,1.270857239E-1,9.834698639E0
1.810561083E0,1.258882141E-1,1.209484863E-1,9.824519806E0
1.820539083E0,1.383123779E-1,1.227447510E-1,9.815837860E0
1.830517083E0,1.399589539E-1,1.191522217E-1,9.844428406E0
1.840495083E0,1.320254517E-1,1.248403931E-1,9.833052063E0
1.850473083E0,1.327738953E-1,1.213975525E-1,9.834249573E0
1.860451083E0,1.257385254E-1,1.184037781E-1,9.820029144E0
1.870429083E0,1.193019104E-1,1.074765015E-1,9.821975098E0
1.880407083E0,1.233435059E-1,1.299298096E-1,9.821526031E0
1.890385083E0,1.390608215E-1,1.284329224E-1,9.818382568E0
1.900363083E0,1.273851013E-1,1.216969299E-1,9.822274475E0
1.910341083E0,1.342707825E-1,1.106199646E-1,9.848020935E0
1.920319083E0,1.222956848E-1,1.206491089E-1,9.814490662E0
1.930297083E0,1.287322998E-1,1.242416382E-1,9.817783813E0
1.940275083E0,1.288819885E-1,1.212478638E-1,9.839189301E0
1.950253083E0,1.266366577E-1,1.228944397E-1,9.822124786E0
1.960231083E0,1.152603149E-1,1.236428833E-1,9.838141479E0
1.970209083E0,1.306782532E-1,1.166075134E-1,9.837393036E0
1.980186083E0,1.371148682E-1,1.327738953E-1,9.846973114E0
1.990164083E0,1.359173584E-1,1.317260742E-1,9.810598755E0
2.000142083E0,1.347198486E-1,1.064286804E-1,9.827812958E0
2.010120083E0,1.234931946E-1,1.118174744E-1,9.820478210E0
2.020098083E0,1.300794983E-1,1.155596924E-1,9.823172607E0
2.030076083E0,1.362167358E-1,1.324745178E-1,9.818532257E0
2.040054083E0,1.297801208E-1,1.137634277E-1,9.844877472E0
2.050032083E0,1.342707825E-1,1.085243225E-1,9.818981323E0
2.060010083E0,1.202000427E-1,1.154100037E-1,9.837393036E0
2.069988083E0,1.255888367E-1,1.151106262E-1,9.817334747E0
2.079966083E0,1.290316772E-1,1.306782532E-1,9.821975098E0
2.089944083E0,1.236428833E-1,1.161584473E-1,9.832902374E0
2.099922083E0,1.200503540E-1,1.115180969E-1,9.833052063E0
2.109900083E0,1.299298096E-1,1.085243225E-1,9.817035370E0
2.119878083E0,1.347198486E-1,1.074765015E-1,9.796078949E0
2.129856083E0,1.269360352E-1,1.176553345E-1,9.824220428E0
2.139834083E0,1.323248291E-1,1.227447510E-1,9.852361908E0
2.149812083E0,1.209484863E-1,1.252894592E-1,9.841883698E0
2.159790083E0,1.272354126E-1,1.139131165E-1,9.809251556E0
2.169768083E0,1.326242065E-1,1.095721436E-1,9.816885681E0
2.179746083E0,1.282832336E-1,1.088237000E-1,9.828411713E0
2.189724083E0,1.170565796E-1,1.219963074E-1,9.843679962E0
2.199702083E0,1.365161133E-1,1.296304321E-1,9.833351440E0
2.209680083E0,1.255888367E-1,1.076261902E-1,9.810898132E0
2.219658083E0,1.365161133E-1,1.163081360E-1,9.823022919E0
2.229636083E0,1.190025330E-1,1.270857239E-1,9.821376343E0
2.239614083E0,1.249900818E-1,1.267863464E-1,9.830507355E0
2.249592083E0,1.299298096E-1,1.062789917E-1,9.833052063E0
2.259570083E0,1.387614441E-1,1.196012878E-1,9.823921051E0
2.269548083E0,1.275347900E-1,1.178050232E-1,9.815837860E0
2.279526083E0,1.176553345E-1,1.052311707E-1,9.826914825E0
2.289504083E0,1.234931946E-1,1.103205872E-1,9.819580078E0
2.299482083E0,1.311273193E-1,1.176553345E-1,9.847721558E0
